Activity,x_mean_critical_time_ratio,y_mean_cost_ratio,criticality_probability,conditional_mean_time_ratio_given_critical,mean_duration,mean_cost,mean_cost_ratio,mean_critical_time_ratio,p90_cost_ratio,p90_critical_time_ratio
A1,0.04510077173046622,0.000484950048709805,1.0,0.04510077173046622,14.9990898,14.999569769552153,0.000484950048709805,0.04510077173046622,0.0005812055591669562,0.05228758169934641
A2,0.10398356747259845,0.008988578238537446,0.73565,0.14134923873118801,44.0052096,279.92436357465107,0.008988578238537446,0.10398356747259845,0.02219898175376694,0.20165745856353592
A3,0.009842835437235636,0.004364704750929144,0.1009794,0.09747369698409415,30.0022962,135.00916631887463,0.004364704750929144,0.009842835437235636,0.005111766330648586,0.08146067415730338
A7,0.04580941800615432,0.022626891502959646,0.2082874,0.2199336974111459,70.001424,700.0231808914729,0.022626891502959646,0.04580941800615432,0.026013566917080715,0.22653721682847897
A16,0.001582750598488771,0.020754616456881682,0.0024588,0.643708556405064,189.9982984,642.0018199573653,0.020754616456881682,0.001582750598488771,0.02294132110654334,0.0
A5,0.027806892323925962,0.016972163102436547,0.1263748,0.22003510449809585,70.0001948,525.0372276660878,0.016972163102436547,0.027806892323925962,0.019428276199509244,0.20679886685552407
A6,0.01552668989225493,0.010205208760376542,0.056391,0.27533985728671123,90.1884954,315.6779725498567,0.010205208760376542,0.01552668989225493,0.011676659670474671,0.0
A17,0.06348123160871,0.01823312891031655,0.3799398,0.16708234201499816,54.9994164,563.9995855028787,0.01823312891031655,0.06348123160871,0.020199588986100147,0.17647058823529413
A4,0.049427120952863286,0.008000706527010218,0.3007844,0.16432740844559524,54.9989818,247.4816279894064,0.008000706527010218,0.049427120952863286,0.009196876462351735,0.1696969696969697
A19,0.0,0.029255796122324682,0.0,0.0,55.0022146,905.0150366881676,0.029255796122324682,0.0,0.03243128203815428,0.0
A11,0.009407777102118884,0.22585922925096974,0.0351704,0.2674913308384006,80.0019502,6999.983975137638,0.22585922925096974,0.009407777102118884,0.25083426284790966,0.0
A12,0.03542966936260379,0.0024246035302423947,0.0925036,0.38300854629013126,112.502204,74.99475547737697,0.0024246035302423947,0.03542966936260379,0.0027659180103374215,0.0
A13,0.03191023577006953,0.05610951014119941,0.0924142,0.345295807030408,84.0504648,1738.0080070720535,0.05610951014119941,0.03191023577006953,0.06527407416668732,0.0
A8,0.009429806482007764,0.024279101390113432,0.1191602,0.07913553755371143,24.999385,756.5151554952603,0.024279101390113432,0.009429806482007764,0.024969379422791642,0.07246376811594203
A9,0.002422781771435592,0.13562585862391044,0.008757,0.27666801089820625,84.9986164,4200.004944437419,0.13562585862391044,0.002422781771435592,0.15236952087625985,0.0
A10,0.0144998208309017,0.11869752714604241,0.056391,0.2571300532159689,85.0013738,3675.2129832645705,0.11869752714604241,0.0144998208309017,0.1336221412795754,0.0
A18,0.06918443399369337,0.02825320111047855,0.3799398,0.18209314737148724,59.9995056,873.9915703097948,0.02825320111047855,0.06918443399369337,0.03131017034763599,0.19242902208201892
A20,0.10260037554382148,0.03961657279108806,0.3007844,0.34110936452762,101.9878216,1225.7691223274785,0.03961657279108806,0.10260037554382148,0.04495750120324369,0.3674698795180723
A14,0.01122739708192623,0.0090521735238869,0.1222392,0.09184776309012353,29.9992888,279.9985332146791,0.0090521735238869,0.01122739708192623,0.010118284205334751,0.08130081300813008
A25,0.017017020909449922,0.01406256816899843,0.1191602,0.14280792504082673,44.999846,435.00525253740466,0.01406256816899843,0.017017020909449922,0.015927157987641587,0.13196480938416422
A21,0.027196093755349635,0.011800092875433096,0.3579014,0.07598767078125325,25.00012,365.00155317417244,0.011800092875433096,0.027196093755349635,0.01318069199089685,0.08024691358024691
A23,0.0039040410815603544,0.015611344472452215,0.0233946,0.16687787273816843,40.8129846,482.9038381158058,0.015611344472452215,0.0039040410815603544,0.017393327455379658,0.0
A29,0.017797262328179252,0.0009699515275119134,0.3895386,0.045688058457311435,15.000415,30.00113912943232,0.0009699515275119134,0.017797262328179252,0.0011422292698835138,0.049019607843137254
A15,0.005628977910471137,0.0029096421724320184,0.1222392,0.0460488772052757,15.0003162,89.99914156774645,0.0029096421724320184,0.005628977910471137,0.003425815559459144,0.040214477211796246
A22,0.004057824246376244,0.011217801607571106,0.0639298,0.06347312593463836,19.9998156,346.98977873695253,0.011217801607571106,0.004057824246376244,0.012556567946322489,0.0
A24,0.0289807949449128,0.012769425512126766,0.2403106,0.12059723934321996,40.0002448,394.9858052028742,0.012769425512126766,0.0289807949449128,0.014219827899428888,0.12244897959183673
A26,0.05116296246930348,0.03391255978064209,0.1874114,0.27299813388781835,85.8125022,1054.5996584538304,0.03391255978064209,0.05116296246930348,0.036384033579637404,0.27124183006535946
A30,0.09275358813801615,0.016144161502692166,0.5027172,0.1845045049940924,60.5261384,499.43232916715556,0.016144161502692166,0.09275358813801615,0.01824405712184993,0.19805194805194806
A27,0.023595438827589004,0.023922024435760397,0.0942706,0.2502947772432657,79.99929,740.0350788991639,0.023922024435760397,0.023595438827589004,0.02692912578053555,0.0
A28,0.06883160718942896,0.06611199269543858,0.2866664,0.2401104809961298,67.0003776,2050.0748601940595,0.06611199269543858,0.06883160718942896,0.08648287489768147,0.2672672672672673
A31,0.030699211524739117,0.009309057662645587,0.6720486,0.04568004683699827,15.0002282,321.06948096842,0.009309057662645587,0.030699211524739117,0.0018227430794088206,0.051118210862619806
A32,0.045113136487062354,0.0014548556578820118,1.0,0.045113136487062354,15.0001912,44.99970715664036,0.0014548556578820118,0.045113136487062354,0.0017134520972856475,0.05167173252279635
